상호명,지리정보체계(GIS) X좌표,지리정보체계(GIS) Y좌표,경도,위도
공단하이웨이주유소,287182.7007,546624.7357,126.72161802044236,37.51491165406973
산곡하이웨이주유소,286382.7693,545417.7956,126.71275781467394,37.50394064846486
HD현대오일뱅크㈜직영 유화셀프주유소,286945.044,547750.2169,126.71875707397284,37.525021578262276
SK에너지(주) 삼산주유소,288098.7125,546803.511,126.73195040242226,37.51663373881921
삼미상사(주)북인천주유소,287705.0,549735.0,126.72704934529227,37.542994568791194
(주)태보에너지 송내I.C주유소,289721.0,543081.0,126.75085634808508,37.483293937831895
삼미상사(주)하늘빛셀프주유소,292214.2725,553482.7076,126.77751565596684,37.57729511397065
SK KH에너지 에이원주유소,292386.4242,553827.6875,126.77941358119405,37.58042308485583
주식회사 인에너지,284819.0,542690.0,126.6955022286251,37.47917329740208
명품주유소,286620.0,549893.0,126.714749609976,37.5442850852311
HD현대오일뱅크㈜직영 계양IC셀프주유소,289599.9415,550797.4544,126.74832839449112,37.552794801215036
영부에너지주유소,286028.0,547762.0,126.70838263661099,37.52501485529672
(주)백마에너지,285729.3498,545897.9082,126.70529451012924,37.50818511293554
㈜한국주유소,286186.4,542821.6,126.71093894385301,37.480528315645316
SK에너지 대양셀프주유소,289780.3679,546776.9108,126.75097357503692,37.516596557776516
현대오일뱅크㈜직영 송도셀프주유소,281571.8882,532154.0643,126.66048826431854,37.38384946235387
HD현대오일뱅크㈜직영 오주유소,290068.0,547796.0,126.75407414909894,37.5258115744389
장수셀프주유소,284872.0029,541706.9953,126.69625505865514,37.47032441370887
금경주유소,282347.0,544558.0,126.66726048536248,37.49568960106881
단봉주유소,280422.0,555897.0,126.64364818795558,37.59758735154848
미소주유소,280511.0,555895.0,126.64465613549443,37.597580899996785
은혜셀프주유소,284039.0,542984.0,126.68663887234798,37.48172422973361
㈜창조 신화주유소,285011.6,537644.8,126.69846649640934,37.433746954365354
만수광해주유소,288269.794,539235.3417,126.73503409525648,37.44847497342903
명보주유소,282742.8934,539339.0034,126.67256751991434,37.44872457560217
하이웨이주유소,286769.3764,538077.8532,126.71825793344549,37.4378649897253
도림SELF주유소,287426.0,535302.0,126.72609970211955,37.412938083820215
메트로 다솜주유소,287384.0,535318.0,126.72562291012981,37.413077117474
송화주유소,281500.4,535421.8,126.65915733279097,37.41327797782433
아시아self주유소 인천점,280922.0,536495.0,126.6524519216996,37.42287172644325
송도신도시주유소,281649.9,533617.9,126.6611346885346,37.39704653150234
한사랑주유소,287214.0,539265.0,126.72309966623264,37.4486139967552
지에스칼텍스(주)청능대로주유소,286833.0,533843.0,126.71962577736781,37.39972198716001
구월아시아드주유소,286768.877,539113.5448,126.718093284354,37.44719518655515
고미에너지딜리버리(주)인천지점,285076.0,541495.0,126.69859383536509,37.46844002321235
지에스칼텍스㈜ 논현신도시주유소,286088.0,533808.0,126.71121857954893,37.39931537544957
지에스칼텍스(주)오일주유소,286897.0,539872.0,126.71942461629219,37.454043570540016
동성제2셀프주유소,286274.1,533134.0,126.71342371335093,37.3932663239124
지에스칼텍스(주)송도국제도시주유소,280161.3604,532357.6018,126.64453127968667,37.385501763023186
보문연수주유소,283090.8685,535576.4961,126.67709545926459,37.414873742744675
(주)박문석유 구월주유소,284598.8,539475.1,126.69351668170634,37.450184069228044
연수하이웨이주유소,285277.6,538184.1,126.70138766959109,37.438638349587386
장안주유소,280396.7522,540978.6691,126.64579203075684,37.46319496664874
HD현대오일뱅크㈜직영 수인주유소,287027.2763,540599.3936,126.72078527059178,37.46061237464899
HD현대오일뱅크㈜직영 만수동셀프주유소,288036.4656,539981.4905,126.73228428113109,37.45516862760351
송도하이웨이주유소,281312.0173,537077.7244,126.6567635831656,37.42817130359615
HD현대오일뱅크㈜직영 공단1주유소,285595.0,535689.0,126.7053603586866,37.41620004918886
HD현대오일뱅크㈜직영 공단2주유소,284372.3497,533640.2591,126.69187180288833,37.39759171069168
SK KH에너지 문광주유소,285563.4,541377.4,126.70412086867695,37.46744109135663
신화상사(주)주원고개주유소,285119.0078,540878.3006,126.69917609228652,37.462889760590706
동윤주유소,286314.7432,533397.777,126.71384205706906,37.39564762033159
HD현대오일뱅크㈜직영 인천대교주유소,281722.0713,533566.3829,126.66195784874492,37.396591650939484
서일석유(주)남동서일주유소,287603.0,539234.0,126.72749988508286,37.44838208591892
서창IC주유소,289118.0,539403.0,126.744593196594,37.45008746389634
좋은주유소,286218.7869,532660.9835,126.71287195601005,37.38899823102673
원천제3주유소,281571.3412,537017.8929,126.65970252978566,37.42766552918301
SK KH에너지 수림공원주유소,285186.0475,540878.6636,126.69993368480156,37.46290136039408
청라셀프주유소,280077.7499,551332.1678,126.6404978918496,37.55642147030628
(주)유카스에너지,289580.0,539328.0,126.74982493066713,37.449467084575026
지에스칼텍스(주)선학로주유소,285009.0,537249.0,126.69849880145321,37.43018100028469
선학현대주유소 ㈜그린에너지,284952.6429,537512.4744,126.69782108327442,37.43254754887512
(주)서해에너지,285052.394,537472.3881,126.69895420894994,37.43219882134677
(주)다솜에너지 다솜주유소,282300.4,539482.3,126.66754481066475,37.44995925787975
토마토주유소(오류점),287612.7204,554871.7034,126.72521777131067,37.589257613725195
서문안주유소,262952.9541,568132.4993,126.44358591252058,37.70536016875647
아름주유소,266998.01,570881.6157,126.48894266664844,37.730718600340246
세광주유소,266719.9,570505.2,126.48585759393283,37.72728763671926
양갑주유소,246080.0,575994.0,126.25064619761537,37.77348511543237
대동주유소,267269.3236,562459.289,126.49355406061443,37.654894093822506
교동주유소,248763.4374,576762.068,126.28093335196694,37.780850461924274
길상주유소,267109.0038,561024.9613,126.49199876521494,37.641951141655035
화도주유소,260624.4,560556.9,126.41863506558107,37.636774150715425
삼산주유소,252235.1909,568206.3034,126.3220691904382,37.7043595853074
(주)창조 삼보주유소,279972.329,558025.7474,126.63820795672855,37.6167049266543
㈜인창실업 스마트주유소,284000.0,544745.0,126.68592039243504,37.4975833633823
팔도셀프주유소,285473.0,544500.0,126.70261332839762,37.49556017257993
백마외포리주유소,257327.6,567889.4,126.37986055733828,37.702312121098714
태성주유소,271722.0,544634.0,126.54712202652489,37.49495918915091
정해주유소,286434.7614,539321.8015,126.7142859664969,37.449030341478476
SK큰나무셀프주우소,283508.0029,538185.9953,126.6813948215445,37.43843429201091
가나안주유소,257397.4595,557961.1018,126.3825922959896,37.61289832417778
창신주유소,285481.924,555610.7108,126.70098024129618,37.59565218359565
(주)오성주유소,260366.0334,540007.591,126.41961816648111,37.45163944112925
가좌금강주유소,283340.8111,543483.921,126.6786671346075,37.48613986369428
양도주유소,260795.9917,563564.7566,126.42000510196054,37.66389262330916
경기주유소,266515.7843,570291.1978,126.48358209309154,37.7253303054759
유림주유소,281812.8583,543955.2935,126.66131815296957,37.490191934522066
스카이주유소,281594.0,550916.0,126.65772203702986,37.55286862029811
두운주유소,266357.0,565472.0,126.48266592786533,37.6818986460201
해명주유소,253933.7417,564358.4372,126.34209545906396,37.66997480315567
현대주유소,285714.0,543985.0,126.70541818368689,37.4909506085179
대일석유일공주유소,281877.2281,544861.8707,126.661900317734,37.49836701717387
우리주유소,282247.5875,544988.1587,126.66606763585318,37.49955199058577
선원부광주유소,266348.506,568884.7319,126.48194346970088,37.712637325085154
파란들주유소,281757.498,544208.8999,126.66065152533061,37.49246944558419
㈜한경에너지 우진주유소,282668.0,543933.0,126.67098948342083,37.490100154204136
고려산주유소,265009.6764,574342.8334,126.46575004445666,37.76160376708172
㈜가정셀프주유소,281013.0058,541330.9906,126.65269960885652,37.46644837081904
신현주유소,281926.0,547370.0,126.66204890911155,37.52096753250585
그린주유소,282478.0029,545857.9953,126.66853389599919,37.507417233034644
솔로몬주유소,283217.0,548372.0,126.67649097348254,37.53015834640335
금광주유소,267141.0,563827.0,126.49185119172628,37.66719521457303
태평주유소,283213.0,549529.0,126.67626167983718,37.540580592991475
(주)보문 가좌주유소,281977.0,543346.0,126.66327156270708,37.48472413444438
가좌IC주유소,283652.5944,542871.8555,126.68228856665645,37.4806653826576
점보주유소,283452.0,543525.0,126.67991760955606,37.48652396260685
태평양주유소,258011.0,572497.0,126.38670840974098,37.74391877040128
한국주유소,264846.9066,569038.6855,126.46488945379056,37.71380375729583
(주)광역주유소,283210.9762,554139.7509,126.6755043824822,37.58211576979312
(주)자연에너지 금곡주유소,280649.0029,556778.9953,126.64607437202247,37.60556203662136
성화주유소,284179.7273,550810.1992,126.68699617322791,37.552244191732214
(주)석산에너지 태양주유소,280781.566,546524.3841,126.64924250360464,37.513202720210316
미래주유소,280049.137,557621.3833,126.63914409044028,37.61307237165646
신인천주유소,283828.6665,550826.313,126.68302140106834,37.55234515506822
동일석유(주) 인천주유소,283344.0029,550889.9953,126.6775273538408,37.552857594813254
(주)재원에너지,283235.284,554383.721,126.67574063827935,37.58431662293926
마전주유소,283284.3728,555386.3913,126.67613648735916,37.59335525176124
금광주유소,282475.0029,545812.9953,126.66850716526262,37.5070114710019
성우셀프주유소,283562.1454,544710.8837,126.68097512562312,37.49722090541725
서광유업㈜청도3주유소,280793.1029,546462.5953,126.64938299396627,37.512647594736194
(주)명진제1주유소,281309.5043,550856.4775,126.65451263623221,37.55229581762403
문화주유소,281164.0091,544978.0515,126.65381743241969,37.49932208680969
SK에너지 논현제일셀프주유소,286046.0,533732.0,126.71075603297456,37.39862554431908
미래주유소,286554.0,549849.1,126.71400968324888,37.543881487948894
씨앤에스유통신도시 주유소,284679.9461,547745.2444,126.69313762470259,37.52469633718347
새현에너지(주),290079.6361,543012.6714,126.75492086466357,37.482721131236346
(주)화동오일뱅크,280373.1,546692.6,126.64459584949424,37.51466519982458
인천부릉부릉주유소,281792.9642,544976.1061,126.66092921445075,37.49938531301906
(주)삼일에너지,281290.8836,550927.6575,126.65429042832739,37.55293463114685
인하주유소,281852.4872,539433.6867,126.66249145869635,37.44946420864098
검단농협주유소,283132.6058,554782.9402,126.67451464183209,37.58789989430203
동우석유(주)우진주유소,280732.4656,545540.0483,126.6488469286385,37.50432911452848
HD현대오일뱅크㈜직영 보령주유소,283726.0562,550757.5443,126.68187127467299,37.55171271406929
(주)검단주유소,281897.1122,556265.3097,126.66028943396802,37.601095755639136
